timestamps,Delta,Theta,Alpha,Beta,Gamma,Label
254409.028,0.0001325191192474,0.000222639161726,0.0005273217120413,0.0503677464700859,5.414868789577292,right
254409.032,0.0007528391720265,0.0012421141255766,0.0028211348298902,0.2022457384121091,-12.05575319541345,right
254409.035,0.0014575032561007,0.0022838794745266,0.0045529174885427,0.0411425592144961,-32.807765869724626,right
254409.039,-0.0031427395514452,-0.0057796419937067,-0.0161598836210462,-2.296441098772161,-56.272316167131166,right
254409.043,-0.0309324035004413,-0.0521408580261315,-0.1236357580044349,-9.9522035134352,58.6835497245893,right
254409.047,-0.1140989476026283,-0.1864150528445861,-0.4120556083721041,-22.2231334848146,342.13117463816104,right
254409.051,-0.2875952813005349,-0.4551389544664519,-0.9318924158423936,-28.239865969655416,17.256889301482442,right
254409.055,-0.5769022581761709,-0.8780348921440023,-1.626956590103935,-13.0566190415949,-600.8954231499772,right
254409.058,-1.002399700556095,-1.4547251066051488,-2.3642268423851025,23.95866494825077,-235.9633432979925,right
254409.062,-1.5905203592953243,-2.1838743055444305,-3.003158755671789,62.43212458689834,578.2806144648681,right
254409.066,-2.367795009197534,-3.0528515572672554,-3.391890482950749,79.46107591223165,468.5565094355881,right
254409.07,-3.3442853706654305,-4.010500133954234,-3.3262639924909294,69.07639344753186,-538.2371689421014,right
254409.028,-4.513165329711923,-4.970429674531752,-2.593968369819136,38.215262086656296,-482.8152698550838,right
254409.032,-5.862972366403264,-5.837790991626337,-1.0753591985700308,-5.673969540685635,519.4926941225456,right
254409.035,-7.382237886493414,-6.52287414032233,1.2052781446944567,-55.03795582031182,171.73508091949134,right
254409.039,-9.060151225872623,-6.947251902345864,4.069367076080611,-99.0947515892448,-313.9633540449205,right
254409.043,-10.893119429025624,-7.058975014940995,7.17492849954769,-126.85067074871148,139.21946074001053,right
254409.047,-12.887690281006858,-6.8395695727120325,10.052218101448087,-128.92840547441222,259.2695101489564,right
254409.051,-15.050050203840934,-6.286265318683221,12.216697977364197,-95.9443593717925,-47.72625646207858,right
254409.055,-17.37474092450053,-5.392797035388833,13.283135786716652,-24.5760381555442,-508.9453157666954,right
254409.058,-19.84990285399989,-4.159254607272911,12.99242861936114,68.6194291219954,-280.7893787631219,right
254409.062,-22.46921959913658,-2.612830073681017,11.197381487929231,147.2466299197627,627.742151954275,right
254409.066,-25.226672409680123,-0.7975038245135568,7.912976050521569,179.2803086266165,484.99185206972754,right
254409.07,-28.100602401194767,1.2547115216303746,3.389056295564079,158.90644687848334,-570.747267239168,right
254409.074,-31.056216414547144,3.519463641115891,-1.9308472127062324,100.05061150061324,-555.2127357483287,right
254409.078,-34.06377633361167,5.948764031674435,-7.538188723600909,19.1583729782856,547.3257266505293,right
254409.082,-37.10098067033889,8.46872366920228,-12.919161488731348,-64.87253817295128,606.8593469380295,right
254409.085,-40.13735409899535,11.009251020120953,-17.5366658220141,-125.18017599935575,-462.9935206399488,right
254409.089,-43.13079551322216,13.512007068796112,-20.8731309843323,-140.22082026468945,-646.2475738260562,right
254409.093,-46.04303123812792,15.905513765411769,-22.55277612834391,-112.77062983148888,289.0528011606681,right
