timestamps,Delta,Theta,Alpha,Beta,Gamma
254580.614,-0.0005568791450688562,-0.0009355865534343415,-0.002215940355214125,-0.21165811961769748,-22.754660001697125
254580.618,-0.004045721523690536,-0.006701654068766756,-0.015365188523677251,-1.1851556761075548,14.617858382210548
254580.621,-0.016505362886794318,-0.026886269173391163,-0.0592769622360841,-3.559903579810636,-1.2835801996448424
254580.625,-0.05197152174141419,-0.08319859320650493,-0.17607717363525743,-8.309911406239644,-77.10315748066716
254580.629,-0.13433266701159585,-0.21067951609149613,-0.4244910573111058,-14.717285458875352,284.10637614109197
254580.633,-0.2864897347271578,-0.43660214372666345,-0.8186236511469224,-15.087000954978317,184.41962752290758
254580.637,-0.5174702953089347,-0.7571245433312191,-1.2721556163305459,1.4832904045408821,-679.4235158139394
254580.64,-0.8282968293988546,-1.1482984872704782,-1.6434649030092605,32.60082865277964,-297.6253105937496
254580.644,-1.2265718313094642,-1.59265429018994,-1.8236604166165367,57.16189365092887,718.4322989718057
254580.648,-1.7250357870687878,-2.0774289562699186,-1.7468588390295963,54.585138713822616,354.47897950696677
254580.652,-2.3307239101821735,-2.5766393857919967,-1.3554991995438292,23.859395531915332,-476.34968925196017
254580.656,-3.047332760440011,-3.056793873745928,-0.6239674273010158,-20.479037669617053,-309.1305405200287
254580.614,-3.8872405690019214,-3.499128632113649,0.3837078296076836,-62.3219871724256,311.0689864430018
254580.618,-4.873585147695874,-3.9033927341391874,1.5166596735164244,-88.12466891961495,282.6153216282024
254580.621,-6.031699707319837,-4.2723801869948534,2.5985023931400457,-86.00807116728058,-217.06452958229823
254580.625,-7.385642722390384,-4.605377605750992,3.467445074145273,-52.05331422741159,-310.4409098480993
254580.629,-8.959210916013308,-4.899673764882745,3.9930026089130477,3.983010838924115,291.5052302826793
254580.633,-10.766588925188511,-5.1348123500535605,4.1290079944109115,65.25698437061551,239.92712433603984
254580.637,-12.800872223767048,-5.255071709543353,3.955936791976165,115.24639897392254,-597.8676807917259
