timestamps,Delta,Theta,Alpha,Beta,Gamma
254490.972,-0.000575936868511542,-0.0009676045414483168,-0.0022917750831422754,-0.21890156183274798,-23.533378366686485
254490.976,-0.0040172228868964625,-0.006650510952652183,-0.015226680990190422,-1.1622592380712982,21.939981286920652
254490.979,-0.01567396810938127,-0.025489204101790154,-0.0559695282563083,-3.2567387906043295,1.7813815882017052
254490.983,-0.04849873911016549,-0.07750757957668776,-0.16336728579269533,-7.527914677262101,-126.21103442666633
254490.987,-0.12716453348096982,-0.1994587163966656,-0.40216598288492333,-14.421902746316599,271.8535334281408
254490.991,-0.27902689987223617,-0.426525415614567,-0.806872549794103,-17.56557911724933,308.91513360648935
254490.994,-0.5191710047827222,-0.7647531708176925,-1.3117072947405715,-4.7486741585525065,-645.1867079051899
254490.998,-0.8532202815789496,-1.196173336989249,-1.7783437613856656,25.590702751743066,-455.81056149039523
254491.002,-1.2924628255479083,-1.7060101043920894,-2.0857611226355304,54.7512639060468,668.266937459986
254491.006,-1.854079889140247,-2.283619663061159,-2.1495190001804905,60.30386037123067,482.22560180488665
254491.009,-2.548514676221772,-2.9013896426715426,-1.8824695134901361,37.42492586786752,-429.54304510398435
254491.013,-3.378996816601146,-3.5158386121244383,-1.212447284737029,-2.249475265057285,-420.54636507387687
254490.972,-4.354337988342885,-4.0920172884302,-0.15338783197256034,-44.75869286546269,266.56128151533375
254490.976,-5.493584394881766,-4.612812187617288,1.1760294238139704,-78.15617367996836,390.745410943052
254490.979,-6.817885933263282,-5.06524796799072,2.6048726058879086,-89.66400868129317,-181.71763048153505
254490.983,-8.346823751334751,-5.43450420263399,3.9483334243807833,-71.15972490203235,-393.7365950796624
254490.987,-10.10150706928183,-5.70972372644749,5.017943503676864,-27.231102022560417,277.815522024688
254490.991,-12.097092450212264,-5.871693923009775,5.675775310468642,29.254982713813654,339.7412903888982
254490.994,-14.329299961481135,-5.871538888815535,5.900338353029425,84.66921428532791,-574.9200590612929
254490.998,-16.77859934311325,-5.641975059852319,5.75489143875473,121.14642198474084,-356.58989891129056
254491.002,-19.426619683422686,-5.130153123191344,5.295783801509972,116.78801480934949,664.8036726887628
254491.006,-22.257565117706154,-4.30341343364192,4.554685245228696,63.659307113481574,473.49812427697236
254491.009,-25.246673701925666,-3.131923466142255,3.5829480141511683,-18.03251195672007,-463.4066465413174
254491.013,-28.36073454938657,-1.5922476273654298,2.4419108528900586,-92.73904178775402,-465.93369856570297
254491.017,-31.57085267451983,0.3087199181217186,1.1449706850483339,-133.62198052448653,302.5965319091039
254491.021,-34.85622815406157,2.527436250356577,-0.3465289582831059,-131.15070253607834,344.824569601467
254491.025,-38.19626284403678,4.99937371341201,-2.0663504404770023,-88.46825046166443,-219.02919624911004
254491.028,-41.5668404004952,7.648255389193929,-4.006064489105639,-19.208850210662778,-263.0459650025096
254491.017,-44.94629784438003,10.37921314706103,-6.125206986462387,52.699747817056696,49.97014739372553
254491.02,-48.318568188357645,13.077990736193296,-8.351951132138804,102.07905840675382,341.65905997309585
254491.023,-51.66261723668921,15.634430600174616,-10.53192837963002,118.13472576584657,147.76325210413796
254491.027,-54.94165754950383,17.965289407144233,-12.396599066445313,107.439198482887,-605.7946417822961
254491.03,-58.111456989648445,20.00249678129911,-13.636284248593341,78.70178396036889,-253.44321984146936
254491.033,-61.13536694044342,21.669717512502793,-14.006281781731783,33.414303528766425,723.0347080638805
254491.037,-63.98112848006301,22.891231734845626,-13.343646716522958,-23.244400422319274,335.9587513476778
254491.04,-66.60738960466769,23.618206406421752,-11.534077174032397,-73.50250154868506,-557.5728798358373
254491.043,-68.96660237011756,23.825219935531393,-8.549821799784374,-99.7207601790792,-457.7415724852005
254491.047,-71.02067933231415,23.4843886671405,-4.5304877292575085,-99.83592502828085,434.71940253078066
254491.05,-72.74330445311179,22.56351721541783,0.21984718361653624,-82.07702234592165,486.45947212284744
254491.053,-74.10940602143488,21.046774656469612,5.311266735146905,-51.946755247055194,-416.5408730020761
254491.056,-75.09469876889756,18.937236058115012,10.310516134567319,-13.415804602078236,-382.2063472335334
254491.06,-75.68668358212643,16.239368590007757,14.74086902802021,23.83577567259967,309.6144912893482
254491.063,-75.88821640313486,12.955059704353204,18.124633354643088,48.81794874637637,310.63140694432167
254491.066,-75.70950951572506,9.099950288331703,20.077502196175153,59.34763598334776,-121.12199960238858
254491.07,-75.16214622253987,4.715428440993062,20.38011637761408,61.719938691830556,-286.2910685608995
254491.073,-74.26270206875097,-0.1371940081578696,18.98646874969057,60.686777186186006,-66.03668853170578
254491.076,-73.036344903097,-5.383195291389089,16.01320529924795,54.95180393942212,323.26605484595376
254491.08,-71.50771122779244,-10.919884599434805,11.764016666365148,44.175579755334205,223.45896658322127
254491.092,-69.68906842737292,-16.599560885247318,6.737355810148133,32.500575016019646,-536.8148777630851
254491.096,-67.58636610613755,-22.245964424799407,1.529517727763606,19.035877510652693,-329.31251695728116
254491.1,-65.2140389135384,-27.686755675914213,-3.306365380606916,-6.052312411658463,681.5656494062332
254491.103,-62.592255921533514,-32.7552064939535,-7.312384184298878,-46.23330305478178,423.1945246594099
254491.107,-59.73191833856939,-37.27108668353401,-10.113394932322272,-86.53645048010125,-562.0095601399522
254491.111,-56.635703525930296,-41.05049005105991,-11.467040357320114,-106.7734105491282,-529.8643461695831
254491.115,-53.31395264501309,-43.9411368726665,-11.3579449117648,-101.03197778173546,428.04332610893226
254491.119,-49.7876980926724,-45.83350060463884,-10.001205795245797,-75.74639455911662,551.1733404114252
254491.122,-46.07655696993838,-46.64412227468749,-7.751558342627338,-36.66581529188601,-371.96560795228396
254491.126,-42.19573020913738,-46.314043306159704,-5.039391811086635,11.04264941670423,-461.08402314963934
254491.13,-38.167049753039734,-44.83036684626986,-2.3589952297999153,55.229505883942046,242.22898841224315
254491.134,-34.02498402016319,-42.23666511215092,-0.22352229069747506,81.1469885650749,371.6688598380266
254491.137,-29.809700240224117,-38.618601570790034,0.9391285260216093,84.19251931864405,-35.2162342733988
254491.141,-25.559424562437766,-34.08709928473739,0.8785622984657285,72.6669554406079,-296.08123744173605
254491.145,-21.312728174114387,-28.778062729355845,-0.45497722112257133,57.08956214975207,-156.83167625120956
254491.149,-17.112679956306064,-22.854442511670797,-2.9211731139087576,41.78625977738476,329.3370210340856
254491.153,-12.997765228427903,-16.48487175412105,-6.169073620245483,29.067754047440623,283.6771045130207
254491.156,-8.988846561214135,-9.816505663493965,-9.633875333955732,22.33417718551096,-581.8244672277378
254491.16,-5.094917883030213,-2.982151046311786,-12.64790362297281,17.056392561205502,-355.394413340017
254491.164,-1.3290773775835543,3.8745419711697737,-14.605190014390297,-1.8193400921874343,712.8503312411343
254491.168,2.2918755689900827,10.60302886598277,-15.041082333023763,-42.42604722147085,397.1955618771041
254491.171,5.75895697418729,17.069044975065996,-13.64604568200446,-91.79701427197428,-533.9055258759179
254491.175,9.068784689783664,23.153162404305426,-10.321788204525058,-126.71126553211116,-382.8813665287138
254491.179,12.210870388024961,28.731197707272155,-5.253494634167081,-132.49497786110064,371.2559517674578
254491.182,15.16624772640682,33.67521713707468,1.106999933032317,-106.340095754293,319.7194180338618
254491.186,17.91675244126425,37.873344726510226,8.136485528646684,-51.89310780322173,-301.850543228213
254491.189,20.447798464918765,41.237645460616925,15.124183469168358,19.90268282090836,-252.89141929532903
254491.193,22.74224354645147,43.69596474830375,21.325808372889757,88.63475867968091,140.83139487353415
254491.196,24.77732657163953,45.18901870437136,26.03626410497548,132.05164500773384,229.23347802877566
254491.2,26.530666868164438,45.682880080273,28.69662821827071,139.43454347866154,65.2810305547066
254491.203,27.987556777600833,45.18246416506007,28.985634135380458,116.3309145574121,-253.4995965334005
254491.207,29.139297816997747,43.72783232120139,26.84142708757478,75.77828451968892,-202.78314555783984
254491.211,29.978095440932197,41.38337968513454,22.439601769804444,28.928406549759437,335.30293337068423
254491.214,30.5037656404484,38.24646593760657,16.19635885149112,-13.554886162692313,295.8475865312953
254491.218,30.735527236747924,34.46286764202032,8.762618746800495,-40.463890296518755,-524.8854684932462
254491.221,30.70657307612031,30.210160296880623,0.9149051193090653,-50.52828417363886,-389.8372070353935
254491.225,30.447371256423043,25.661078153045434,-6.608684481598786,-57.251989075954405,622.4472198610144
254491.228,29.983714536113364,20.973575288324867,-13.191566806082667,-72.92236270484332,445.9195805204228
254491.232,29.34720989627412,16.303314115947607,-18.347515871355803,-92.40687517289723,-466.31675390172103
254491.236,28.574648672454856,11.797184201706077,-21.760820856652106,-99.85402392876888,-399.0604352388159
254491.258,27.69645142162446,7.569055368068769,-23.34933387106451,-85.45776240031736,287.7167898031779
254491.262,26.73375912638462,3.692748597650744,-23.257371120611047,-49.55192185116799,306.0936328676856
254491.266,25.705933363297056,0.21497761401810322,-21.777782612903856,2.604902997682848,-204.71755437668259
254491.27,24.633492435880605,-2.8385421632843317,-19.282841590860976,61.30210360769786,-251.2504791721774
254491.274,23.53202732189387,-5.47155172549777,-16.19088199640114,110.21481099817098,74.30764149595981
254491.279,22.40973458382651,-7.717979535948928,-12.916318213766777,132.93557432417714,340.12197041399816
254491.283,21.2787056865698,-9.618077805301652,-9.769449381509684,126.01161590335542,116.16119058071406
254491.287,20.16600273906234,-11.19583002582841,-6.884296537550705,99.92704223104559,-608.7836583602874
254491.291,19.105355033152815,-12.47126635373877,-4.262161105443931,63.40643224455863,-254.5370445392478
254491.295,18.122245334912204,-13.484140797402855,-1.8594476277420688,15.321242941722275,734.6799275452797
254491.299,17.23775323133146,-14.284250517826393,0.40371359586394673,-42.179167628735414,357.01301919769855
254491.303,16.4829103096262,-14.9039419958976,2.6733069722778553,-93.06481088324125,-580.1049955541996
254491.307,15.895824152882554,-15.361839045578979,5.105654447072187,-120.05630221629035,-482.78090659750285
254491.311,15.505250985250779,-15.690263148491079,7.757777791871922,-120.81328611850954,460.3455782425748
254491.315,15.328389432432548,-15.93694953894923,10.561749668376725,-102.75242630474001,528.3063175944695
254491.32,15.382618064946916,-16.142204325749784,13.378990580578417,-69.95828827615516,-444.9454006448962
254491.324,15.68622632592211,-16.335775549708842,16.016054529237525,-25.519313176291192,-437.39701641151623
254491.328,16.246228861869195,-16.55618007922059,18.196282756806504,19.893447771291115,336.6526972412683
254491.332,17.054997221835198,-16.853853410682667,19.5877463934297,53.30507059053991,393.441156479484
254491.336,18.101396306001426,-17.268841951880585,19.903003133947994,71.78383280491781,-134.6452406144482
254491.332,19.378107152010337,-17.816163624049867,18.973031897105987,81.43099346866974,-461.648855131736
254491.336,20.874332945455627,-18.49771790289845,16.741642203803735,84.49393616569634,-40.46791580412334
254491.339,22.5676732349251,-19.315860771150717,13.2461722414612,75.42683886369046,476.10310054012734
254491.343,24.430184327250963,-20.262406072442097,8.65073536929352,51.78507224251175,176.42534732044228
254491.347,26.43946009934006,-21.30003060591704,3.2822308740324204,21.331803332363926,-414.54637820755886
254491.351,28.57631040410099,-22.368597837295873,-2.4155500071904887,-6.726895639091204,-308.51775590336246
254491.355,30.814963433207346,-23.4052251809851,-7.972814528808476,-30.736163594679216,428.0431773270608
254491.358,33.12641685502122,-24.341656325599835,-12.928436802155739,-50.57815669160341,362.4161224675263
254491.362,35.48928330986742,-25.089440709166908,-16.83427503171486,-60.94220998779305,-525.9586420914796
254491.366,37.886485361363405,-25.550805681254637,-19.32306899367415,-58.875157457035016,-297.9328571822608
254491.37,40.2933256563997,-25.64444247124261,-20.20173072235034,-50.659645694325555,510.54342804913904
254491.374,42.67758874185286,-25.309328935063146,-19.46758980005946,-43.39774525062522,243.50516758259096
254491.377,45.008473387957416,-24.492528868723753,-17.26477904795427,-35.42729349194283,-333.82188037284266
254491.381,47.25749647759617,-23.15076211810964,-13.86206383939878,-20.889111949881965,-232.18933221829428
254491.385,49.3917804115619,-21.264568105302722,-9.65031374460192,0.6915914723590191,160.1555950799765
254491.389,51.37255662526489,-18.842156352524047,-5.102420154627831,24.17666882079688,221.425101093425
254491.393,53.16233702378677,-15.907242907150541,-0.6884659873030465,45.42236670637273,-25.794055167771354
254491.396,54.731389889556546,-12.487976638892315,3.199496012002212,63.077314294371604,-244.1156799715436
254491.4,56.05499840385388,-8.621981369744677,6.268561962549667,73.39876530648657,-132.42802362330667
254491.404,57.108749297139056,-4.364413144919235,8.325355115672204,69.35388510355888,349.6602973385269
254491.409,57.8763615057206,0.22606203243237283,9.317981076059183,49.912913225773174,284.4038452180986
254491.412,58.36200732650299,5.108221418155731,9.374915221708656,24.250330309831185,-550.1320563408823
254491.416,58.584992791887274,10.247376844953852,8.742626383458173,-0.3727806283483098,-385.8796453542478
